code,name,orgId
000623,吉林敖东,gssz0000623
000625,长安汽车,gssz0000625
000626,远大控股,gssz0000626
000627,天茂集团,gssz0000627
000628,高新发展,gssz0000628
000629,钒钛股份,gssz0000629
000630,铜陵有色,gssz0000630
000631,顺发恒业,gssz0000631
000632,三木集团,gssz0000632
000633,合金投资,gssz0000633
000635,英力特,gssz0000635
000636,风华高科,gssz0000636
000637,茂化实华,gssz0000637
000638,万方发展,gssz0000638
000639,西王食品,gssz0000639
000650,仁和药业,gssz0000650
000651,格力电器,gssz0000651
000652,泰达股份,gssz0000652
000655,金岭矿业,gssz0000655
000656,金科股份,gssz0000656
000657,中钨高新,gssz0000657
000659,珠海中富,gssz0000659
000661,长春高新,gssz0000661
000662,天夏退,gssz0000662
000663,永安林业,gssz0000663
000665,湖北广电,gssz0000665
000666,经纬纺机,gssz0000666
000667,美好置业,gssz0000667
000668,荣丰控股,gssz0000668
000670,盈方微,gssz0000670
000671,阳光城,gssz0000671
000672,上峰水泥,gssz0000672
000673,当代退,gssz0000673
000676,智度股份,gssz0000676
000677,恒天海龙,gssz0000677
000678,襄阳轴承,gssz0000678
000679,大连友谊,gssz0000679
000680,山推股份,gssz0000680
000681,视觉中国,gssz0000681
000682,东方电子,gssz0000682
000683,远兴能源,gssz0000683
000685,中山公用,gssz0000685
000686,东北证券,gssz0000686
000687,华讯退,gssz0000687
000688,国城矿业,gssz0000688
000690,宝新能源,gssz0000690
000691,亚太实业,gssz0000691
000692,惠天热电,gssz0000692
000693,华泽退,gssz0000693
000695,滨海能源,gssz0000695
000697,炼石航空,gssz0000697
000698,沈阳化工,gssz0000698
000700,模塑科技,gssz0000700
000701,厦门信达,gssz0000701
000702,正虹科技,gssz0000702
000703,恒逸石化,gssz0000703
000705,浙江震元,gssz0000705
000707,双环科技,gssz0000707
000708,中信特钢,gssz0000708
000709,河钢股份,gssz0000709
000710,贝瑞基因,gssz0000710
000711,京蓝科技,gssz0000711
000712,锦龙股份,gssz0000712
000713,丰乐种业,gssz0000713
000715,中兴商业,gssz0000715
000716,黑芝麻,gssz0000716
000717,中南股份,gssz0000717
000718,苏宁环球,gssz0000718
000719,中原传媒,gssz0000719
000720,新能泰山,gssz0000720
000721,西安饮食,gssz0000721
000722,湖南发展,gssz0000722
000723,美锦能源,gssz0000723
000725,京东方A,gssz0000725
000726,鲁泰A,gssz0000726
000727,冠捷科技,gssz0000727
000728,国元证券,gssz0000728
000729,燕京啤酒,gssz0000729
000731,四川美丰,gssz0000731
000733,振华科技,gssz0000733
000735,罗牛山,gssz0000735
000736,中交地产,gssz0000736
000737,北方铜业,gssz0000737
000738,航发控制,gssz0000738
000739,普洛药业,gssz0000739
000748,长城信息,gssz0000748
000750,国海证券,gssz0000750
000751,锌业股份,gssz0000751
000753,漳州发展,gssz0000753
000755,山西路桥,gssz0000755
000756,新华制药,gssz0000756
000757,浩物股份,gssz0000757
000758,中色股份,gssz0000758
000759,中百集团,gssz0000759
000760,斯太退,gssz0000760
000761,本钢板材,gssz0000761
000762,西藏矿业,gssz0000762
000763,锦州石化,gssz0000763
000766,通化金马,gssz0000766
000767,晋控电力,gssz0000767
000768,中航西飞,gssz0000768
000776,广发证券,gssz0000776
000777,中核科技,gssz0000777
000778,新兴铸管,gssz0000778
000779,甘咨询,gssz0000779
000782,美达股份,gssz0000782
000783,长江证券,gssz0000783
000785,居然之家,gssz0000785
000786,北新建材,gssz0000786
000788,北大医药,gssz0000788
000789,万年青,gssz0000789
000790,华神科技,gssz0000790
000791,甘肃电投,gssz0000791
000792,盐湖股份,gssz0000792
000793,华闻集团,gssz0000793
000795,英洛华,gssz0000795
000797,中国武夷,gssz0000797
000798,中水渔业,gssz0000798
000799,酒鬼酒,gssz0000799
000800,一汽解放,gssz0000800
000801,四川九洲,gssz0000801
000802,北京文化,gssz0000802
000803,山高环能,gssz0000803
000807,云铝股份,gssz0000807
000810,创维数字,gssz0000810
000811,冰轮环境,gssz0000811
000812,陕西金叶,gssz0000812
000813,德展健康,gssz0000813
000815,美利云,gssz0000815
000816,智慧农业,gssz0000816
000817,辽油退市,gssz0000817
000818,航锦科技,gssz0000818
000819,岳阳兴长,gssz0000819
000820,神雾节能,gssz0000820
000821,京山轻机,gssz0000821
000822,山东海化,gssz0000822
000823,超声电子,gssz0000823
000825,太钢不锈,gssz0000825
000826,启迪环境,gssz0000826
000828,东莞控股,gssz0000828
000829,天音控股,gssz0000829
000830,鲁西化工,gssz0000830
000831,中国稀土,gssz0000831
000833,粤桂股份,gssz0000833
000835,长动退,gssz0000835
000836,富通信息,gssz0000836
000837,秦川机床,gssz0000837
000838,财信发展,gssz0000838
000848,承德露露,gssz0000848
000850,华茂股份,gssz0000850
000851,高鸿股份,gssz0000851
000852,石化机械,gssz0000852
000856,冀东装备,gssz0000856
000858,五粮液,gssz0000858
000859,国风新材,gssz0000859
000860,顺鑫农业,gssz0000860
000861,海印股份,gssz0000861
000862,银星能源,gssz0000862
000863,三湘印象,gssz0000863
000866,扬子退市,gssz0000866
000868,安凯客车,gssz0000868
000869,张裕A,gssz0000869
000875,吉电股份,gssz0000875
000876,新希望,gssz0000876
000877,天山股份,gssz0000877
000878,云南铜业,gssz0000878
000880,潍柴重机,gssz0000880
000881,中广核技,gssz0000881
000882,华联股份,gssz0000882
000883,湖北能源,gssz0000883
000885,城发环境,gssz0000885
000886,海南高速,gssz0000886
000887,中鼎股份,gssz0000887
000888,峨眉山A,gssz0000888
000890,法尔胜,gssz0000890
000892,欢瑞世纪,gssz0000892
000893,亚钾国际,gssz0000893
000895,双汇发展,gssz0000895
000897,津滨发展,gssz0000897
000898,鞍钢股份,gssz0000898
000899,赣能股份,gssz0000899
000900,现代投资,gssz0000900
000901,航天科技,gssz0000901
000902,新洋丰,gssz0000902
000903,云内动力,gssz0000903
000905,厦门港务,gssz0000905
000906,浙商中拓,gssz0000906
000908,景峰医药,gssz0000908
000909,数源科技,gssz0000909
000910,大亚圣象,gssz0000910
000911,南宁糖业,gssz0000911
000912,泸天化,gssz0000912
000913,钱江摩托,gssz0000913
000915,华特达因,gssz0000915
000916,华北高速,gssz0000916
000917,电广传媒,gssz0000917
000918,嘉凯城,gssz0000918
000919,金陵药业,gssz0000919
000920,沃顿科技,gssz0000920
000921,海信家电,gssz0000921
000922,佳电股份,gssz0000922
000923,河钢资源,gssz0000923
000925,众合科技,gssz0000925
000926,福星股份,gssz0000926
000927,中国铁物,gssz0000927
000928,中钢国际,gssz0000928
000929,兰州黄河,gssz0000929
000930,中粮科技,gssz0000930
000931,中关村,gssz0000931
000932,华菱钢铁,gssz0000932
000933,神火股份,gssz0000933
